slug,source_A_live,source_B_live,source_C_live,shuttered_v2,shuttered_v2_confidence,sources_n_live,sources_n_dead,sources_n_null
hey-telo,True,True,,live,low,2,0,1
subimage,True,True,,live,low,2,0,1
steinmetz,False,True,True,live,low,2,1,0
axiom,False,True,True,live,low,2,1,0
orchids,True,True,,live,low,2,0,1
splash-inc,True,True,,live,low,2,0,1
stamp,True,True,,live,low,2,0,1
alice-tech,True,True,True,live,high,3,0,0
dollyglot,True,True,True,live,high,3,0,0
awen,True,True,,live,low,2,0,1
karoo,True,True,True,live,high,3,0,0
dartboard-energy,True,True,,live,low,2,0,1
astro,False,True,,ambiguous,none,1,1,1
vocality-health,False,True,True,live,low,2,1,0
subtrace,False,True,,ambiguous,none,1,1,1
scout-4,True,True,True,live,high,3,0,0
promptless,True,True,,live,low,2,0,1
closure,True,True,,live,low,2,0,1
conntour,True,True,,live,low,2,0,1
superglue,True,True,,live,low,2,0,1
truffle-ai,False,True,,ambiguous,none,1,1,1
ovlo,True,True,True,live,high,3,0,0
contrario,True,True,,live,low,2,0,1
sublingual,False,False,True,shuttered,low,1,2,0
rocketable,False,True,,ambiguous,none,1,1,1
toothy-ai,False,True,True,live,low,2,1,0
verbiflow,True,True,,live,low,2,0,1
a1base,True,True,,live,low,2,0,1
altrina,True,True,,live,low,2,0,1
a0-dev,True,True,True,live,high,3,0,0
maritime-fusion,True,True,,live,low,2,0,1
trava,True,True,,live,low,2,0,1
tejas-ai,False,True,,ambiguous,none,1,1,1
caseflood-ai,False,True,,ambiguous,none,1,1,1
weave-3,True,True,,live,low,2,0,1
maive,True,True,,live,low,2,0,1
salespatriot,True,True,,live,low,2,0,1
deployparagon,True,True,,live,low,2,0,1
carecycle,True,True,,live,low,2,0,1
inversion-semiconductor,True,True,,live,low,2,0,1
adam,True,True,True,live,high,3,0,0
rally-3,True,True,,live,low,2,0,1
tergle,True,True,True,live,high,3,0,0
trim,True,True,True,live,high,3,0,0
amby-health,True,True,,live,low,2,0,1
cardamon,True,True,True,live,high,3,0,0
bezel,True,True,,live,low,2,0,1
zeroentropy,True,True,,live,low,2,0,1
oki,True,True,,live,low,2,0,1
cifrato,True,True,True,live,high,3,0,0
mosaic-2,False,True,,ambiguous,none,1,1,1
swerve,False,True,,ambiguous,none,1,1,1
osmosis,True,True,,live,low,2,0,1
operand,False,True,,ambiguous,none,1,1,1
healthkey,True,True,True,live,high,3,0,0
gradewiz,False,True,True,live,low,2,1,0
mecha-health,True,True,,live,low,2,0,1
cuckoo-labs,True,True,True,live,high,3,0,0
finbar,True,True,True,live,high,3,0,0
hud,True,True,,live,low,2,0,1
olive,False,True,True,live,low,2,1,0
pax-markets,True,True,True,live,high,3,0,0
pave-robotics,True,True,True,live,high,3,0,0
gale,False,True,True,live,low,2,1,0
asteroid,True,True,,live,low,2,0,1
macadamia,True,True,,live,low,2,0,1
lucid,True,True,,live,low,2,0,1
pickle-2,True,True,,live,low,2,0,1
bindwell,True,True,,live,low,2,0,1
stillwind,True,True,,live,low,2,0,1
harbera,True,True,True,live,high,3,0,0
cenote,False,True,True,live,low,2,1,0
lopus-ai,True,True,True,live,high,3,0,0
athenahq,True,True,,live,low,2,0,1
strike,False,True,False,shuttered,low,1,2,0
g-lnk,True,True,,live,low,2,0,1
mundo-ai,False,True,,ambiguous,none,1,1,1
lucidic-ai,True,True,,live,low,2,0,1
haleum,False,True,,ambiguous,none,1,1,1
trata,True,True,,live,low,2,0,1
solidroad,True,True,True,live,high,3,0,0
general-trajectory,False,True,,ambiguous,none,1,1,1
rejot,True,True,,live,low,2,0,1
agentin-ai,True,True,,live,low,2,0,1
bystreet,True,True,,live,low,2,0,1
waypoint-transit,True,True,,live,low,2,0,1
riviera,True,True,,live,low,2,0,1
confident-ai,True,True,,live,low,2,0,1
exla,False,True,,ambiguous,none,1,1,1
karsa,True,True,,live,low,2,0,1
nitrode,True,True,,live,low,2,0,1
calltree,True,True,,live,low,2,0,1
harper,True,True,,live,low,2,0,1
tire-swing,True,True,,live,low,2,0,1
outlit,True,True,,live,low,2,0,1
mesh-2,True,True,,live,low,2,0,1
orbital-operations,True,True,,live,low,2,0,1
sennu-ai,False,True,True,live,low,2,1,0
infinite,True,True,True,live,high,3,0,0
peppr-ai,False,True,True,live,low,2,1,0
